timestamp,instrument,price,decision,action,units,equity,position,daily_bias,reason
2026-09-19T21:58:46.075666+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T21:58:46.397339+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T21:58:46.719029+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:15:16.037777+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T22:15:16.590543+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:15:17.498750+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:27:52.203390+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T22:27:52.588726+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:27:53.045097+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:39:33.334880+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T22:39:33.723340+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:39:34.152315+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:49:29.908401+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T22:49:30.329565+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:49:30.710291+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:58:47.884860+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T22:58:48.520827+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T22:58:48.863124+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:13:58.966947+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T23:13:59.430993+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:14:00.073474+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:25:38.170103+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T23:25:38.971166+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:25:39.300253+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:35:57.181325+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T23:35:57.388859+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:35:57.628505+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:45:40.051656+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T23:45:40.193920+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:45:40.339859+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:54:58.943663+00:00,XAU_USD,4378.385,none,none,0,959.5304,0.0,1,no signal
2026-09-19T23:54:59.315829+00:00,EUR_USD,1.14863,none,none,0,959.5304,0.0,-1,no signal
2026-09-19T23:54:59.491014+00:00,GBP_USD,1.33943,none,none,0,959.5304,0.0,-1,no signal
